frame,person_id,keypoint,x,y,confidence
0,0,nose,557.370849609375,635.5557861328125,0.9764444828033447
0,0,left_eye,556.905029296875,616.091064453125,0.48523467779159546
0,0,right_eye,538.6420288085938,620.564208984375,0.989928662776947
0,0,left_ear,517.7963256835938,622.4647216796875,0.04110247641801834
0,0,right_ear,483.10223388671875,636.97314453125,0.9829302430152893
0,0,left_shoulder,443.1387939453125,712.1187133789062,0.970017671585083
0,0,right_shoulder,465.0188903808594,726.8720703125,0.9946601986885071
0,0,left_elbow,556.0472412109375,775.4827880859375,0.7012234330177307
0,0,right_elbow,632.297119140625,792.9031372070312,0.9851517081260681
0,0,left_wrist,684.8699951171875,813.5684204101562,0.740333616733551
0,0,right_wrist,797.6239624023438,800.5406494140625,0.9690332412719727
0,0,left_hip,277.8878479003906,972.45263671875,0.9839619398117065
0,0,right_hip,286.3826904296875,984.4482421875,0.9933804273605347
0,0,left_knee,524.1817626953125,1014.2344970703125,0.9754694700241089
0,0,right_knee,537.5333862304688,1036.146240234375,0.9924079179763794
0,0,left_ankle,413.15655517578125,1234.260986328125,0.9354917407035828
0,0,right_ankle,400.5293884277344,1266.3978271484375,0.9627583622932434
1,0,nose,556.8175048828125,641.437255859375,0.9723954796791077
1,0,left_eye,555.1422119140625,622.338134765625,0.42456260323524475
1,0,right_eye,538.3451538085938,626.294921875,0.9886465668678284
1,0,left_ear,513.3493041992188,629.3623046875,0.034649498760700226
1,0,right_ear,481.9368591308594,642.9439697265625,0.9844865202903748
1,0,left_shoulder,441.583740234375,720.4677734375,0.9701635241508484
1,0,right_shoulder,460.8661804199219,734.2348022460938,0.9945617318153381
1,0,left_elbow,552.1937255859375,780.4487915039062,0.6990880966186523
1,0,right_elbow,626.2794799804688,796.90185546875,0.9849109649658203
1,0,left_wrist,673.1234741210938,820.1248168945312,0.7335565686225891
1,0,right_wrist,792.1306762695312,806.2035522460938,0.9685275554656982
1,0,left_hip,275.2459716796875,982.3201904296875,0.9830560684204102
1,0,right_hip,281.79876708984375,994.13671875,0.9929684996604919
1,0,left_knee,526.183837890625,1017.2490844726562,0.9719824194908142
1,0,right_knee,536.9606323242188,1039.3790283203125,0.9913043975830078
1,0,left_ankle,409.547119140625,1237.3101806640625,0.924895703792572
1,0,right_ankle,398.0262145996094,1269.74365234375,0.9560202360153198
2,0,nose,556.8065185546875,641.1422729492188,0.9720640182495117
2,0,left_eye,555.0614624023438,622.0306396484375,0.42202526330947876
2,0,right_eye,538.3154296875,626.0447387695312,0.98850017786026
2,0,left_ear,513.1577758789062,629.1016845703125,0.034762848168611526
2,0,right_ear,481.97528076171875,642.8782958984375,0.9844173192977905
2,0,left_shoulder,441.4325256347656,720.4154663085938,0.9700441360473633
2,0,right_shoulder,461.0107727050781,734.291259765625,0.994559109210968
2,0,left_elbow,552.1318359375,780.4962158203125,0.6985169053077698
2,0,right_elbow,626.2627563476562,797.016845703125,0.9849240779876709
2,0,left_wrist,672.8821411132812,820.072021484375,0.7332658171653748
2,0,right_wrist,792.0431518554688,806.2855224609375,0.9685362577438354
2,0,left_hip,274.7429504394531,982.275390625,0.9829913973808289
2,0,right_hip,281.5458068847656,994.1067504882812,0.9929551482200623
2,0,left_knee,525.6222534179688,1017.2080688476562,0.971864640712738
2,0,right_knee,536.8746337890625,1039.3709716796875,0.9912841320037842
2,0,left_ankle,409.17584228515625,1237.2779541015625,0.9245480298995972
2,0,right_ankle,398.10882568359375,1269.9066162109375,0.955878496170044
3,0,nose,555.0630493164062,645.8919677734375,0.9745011329650879
3,0,left_eye,552.6212768554688,626.4457397460938,0.4554170072078705
3,0,right_eye,536.7587280273438,630.6005249023438,0.989553689956665
3,0,left_ear,508.9921569824219,632.8035278320312,0.04194493964314461
3,0,right_ear,481.7401428222656,647.4368286132812,0.9863835573196411
3,0,left_shoulder,436.5721740722656,725.8275146484375,0.972841739654541
3,0,right_shoulder,463.99481201171875,740.2366943359375,0.994657039642334
3,0,left_elbow,543.0714111328125,784.6871337890625,0.6856316328048706
3,0,right_elbow,628.9640502929688,801.7446899414062,0.9824119210243225
3,0,left_wrist,658.8727416992188,823.3272094726562,0.7054281830787659
3,0,right_wrist,788.7854614257812,812.1322631835938,0.9620481729507446
3,0,left_hip,268.6575927734375,987.654052734375,0.980692446231842
3,0,right_hip,280.5472106933594,999.3599243164062,0.9916952252388
3,0,left_knee,522.583251953125,1015.421142578125,0.968698263168335
3,0,right_knee,536.6854858398438,1037.45263671875,0.9899835586547852
3,0,left_ankle,404.916748046875,1237.2630615234375,0.9206768274307251
3,0,right_ankle,395.5157775878906,1270.6884765625,0.9525251388549805
4,0,nose,555.0768432617188,645.8630981445312,0.9744057059288025
4,0,left_eye,552.6314697265625,626.4022827148438,0.45397552847862244
4,0,right_eye,536.7813110351562,630.5499267578125,0.9895169138908386
4,0,left_ear,509.02825927734375,632.7671508789062,0.04169211536645889
4,0,right_ear,481.77972412109375,647.3595581054688,0.9863729476928711
4,0,left_shoulder,436.70355224609375,725.9273681640625,0.9727767705917358
4,0,right_shoulder,463.9471740722656,740.1717529296875,0.9946337938308716
4,0,left_elbow,543.335693359375,784.8538818359375,0.6855387091636658
4,0,right_elbow,628.8597412109375,801.7175903320312,0.9823789000511169
4,0,left_wrist,659.114013671875,823.2167358398438,0.705671489238739
4,0,right_wrist,788.8299560546875,812.2050170898438,0.9620527029037476
4,0,left_hip,268.5627746582031,987.6630249023438,0.9805742502212524
4,0,right_hip,280.36590576171875,999.2997436523438,0.9916390776634216
4,0,left_knee,522.4346313476562,1015.5676879882812,0.9684358835220337
4,0,right_knee,536.7295532226562,1037.51708984375,0.9898930191993713
4,0,left_ankle,404.71112060546875,1237.474853515625,0.9198549389839172
4,0,right_ankle,395.676025390625,1270.931640625,0.9519885778427124
5,0,nose,554.65576171875,650.5098266601562,0.9744746088981628
5,0,left_eye,551.5278930664062,631.0823364257812,0.4469148516654968
5,0,right_eye,536.76513671875,635.2642822265625,0.9892985820770264
5,0,left_ear,506.5553894042969,637.0759887695312,0.041814908385276794
5,0,right_ear,482.195556640625,651.9490356445312,0.986501157283783
5,0,left_shoulder,435.24920654296875,729.23486328125,0.9751313328742981
5,0,right_shoulder,464.84393310546875,745.4638671875,0.9949949979782104
5,0,left_elbow,551.67138671875,783.2088623046875,0.7114653587341309
5,0,right_elbow,631.4231567382812,805.2409057617188,0.9840116500854492
5,0,left_wrist,677.4573364257812,820.5573120117188,0.7339666485786438
5,0,right_wrist,792.0016479492188,812.4669189453125,0.9658949375152588
5,0,left_hip,267.1769714355469,993.039306640625,0.9817642569541931
5,0,right_hip,280.80364990234375,1005.5300903320312,0.9920530319213867
5,0,left_knee,522.9746704101562,1012.1973876953125,0.9692217111587524
5,0,right_knee,538.6113891601562,1035.22607421875,0.9900733232498169
5,0,left_ankle,404.64202880859375,1235.11865234375,0.9195769429206848
5,0,right_ankle,395.7171630859375,1268.3470458984375,0.9515292644500732
6,0,nose,554.6715087890625,650.4900512695312,0.9744898080825806
6,0,left_eye,551.5493774414062,631.0947875976562,0.44679737091064453
6,0,right_eye,536.8046875,635.2465209960938,0.9893117547035217
6,0,left_ear,506.6076354980469,637.1295166015625,0.04175155609846115
6,0,right_ear,482.23614501953125,651.9078979492188,0.98653244972229
6,0,left_shoulder,435.37371826171875,729.2938842773438,0.9751793742179871
6,0,right_shoulder,464.72381591796875,745.4007568359375,0.9950124621391296
6,0,left_elbow,552.1854858398438,783.2330932617188,0.7121014595031738
6,0,right_elbow,631.36865234375,805.173828125,0.9840710163116455
6,0,left_wrist,678.2137451171875,820.4520874023438,0.7347387671470642
6,0,right_wrist,792.024658203125,812.4736328125,0.9660151600837708
6,0,left_hip,267.3970031738281,992.9307861328125,0.9818589091300964
6,0,right_hip,280.8346862792969,1005.3817138671875,0.9920976161956787
6,0,left_knee,523.1865234375,1012.1907348632812,0.9694013595581055
6,0,right_knee,538.4043579101562,1035.138671875,0.990132212638855
6,0,left_ankle,405.5658874511719,1235.1234130859375,0.9199495911598206
6,0,right_ankle,396.03948974609375,1268.2357177734375,0.9517573118209839
7,0,nose,552.3038330078125,656.9088134765625,0.9818167686462402
7,0,left_eye,551.0553588867188,636.5601196289062,0.5448864698410034
7,0,right_eye,533.84619140625,640.3711547851562,0.9925234913825989
7,0,left_ear,510.10028076171875,641.4344482421875,0.04317346215248108
7,0,right_ear,478.438720703125,654.6342163085938,0.9865206480026245
7,0,left_shoulder,437.0404968261719,734.379150390625,0.972393810749054
7,0,right_shoulder,462.05572509765625,749.6622924804688,0.9938670992851257
7,0,left_elbow,562.5284423828125,787.3668212890625,0.677374541759491
7,0,right_elbow,631.712646484375,810.0699462890625,0.9792556166648865
7,0,left_wrist,697.4248046875,826.4727783203125,0.7117615938186646
7,0,right_wrist,793.68994140625,816.1964721679688,0.9594739675521851
7,0,left_hip,267.3555603027344,998.6209716796875,0.9747713208198547
7,0,right_hip,278.4393005371094,1011.0131225585938,0.9884430766105652
7,0,left_knee,529.6317138671875,1010.0967407226562,0.9619355201721191
7,0,right_knee,544.562255859375,1032.5306396484375,0.9872437119483948
7,0,left_ankle,409.1206970214844,1237.6395263671875,0.9108446836471558
7,0,right_ankle,400.594482421875,1268.1767578125,0.9447658658027649
8,0,nose,552.2855224609375,656.87744140625,0.9818061590194702
8,0,left_eye,551.02587890625,636.54541015625,0.5441756248474121
8,0,right_eye,533.8221435546875,640.35400390625,0.9925181865692139
8,0,left_ear,510.0960998535156,641.44140625,0.04297243431210518
8,0,right_ear,478.39813232421875,654.6184692382812,0.9865294694900513
8,0,left_shoulder,437.1310729980469,734.3656616210938,0.9724659323692322
8,0,right_shoulder,461.9093933105469,749.5653686523438,0.9938836693763733
8,0,left_elbow,562.6389770507812,787.4080810546875,0.6783928275108337
8,0,right_elbow,631.5567626953125,810.0114135742188,0.9793574810028076
8,0,left_wrist,697.49658203125,826.4387817382812,0.7127445936203003
8,0,right_wrist,793.5986938476562,816.2219848632812,0.9596753716468811
8,0,left_hip,267.4450378417969,998.6435546875,0.974932074546814
8,0,right_hip,278.3786926269531,1011.0057373046875,0.9885191321372986
8,0,left_knee,529.6240844726562,1010.0238647460938,0.9621500372886658
8,0,right_knee,544.4426879882812,1032.42822265625,0.9873184561729431
8,0,left_ankle,409.0863952636719,1237.536376953125,0.9112095832824707
8,0,right_ankle,400.57073974609375,1268.09130859375,0.9449964761734009
9,0,nose,551.2305908203125,659.0132446289062,0.9829714894294739
9,0,left_eye,550.075439453125,639.2523193359375,0.5643295049667358
9,0,right_eye,532.0174560546875,642.7657470703125,0.9930144548416138
9,0,left_ear,510.80712890625,646.1791381835938,0.04295739531517029
9,0,right_ear,476.2953796386719,658.8108520507812,0.9868987798690796
9,0,left_shoulder,440.66693115234375,740.5614624023438,0.9728423953056335
9,0,right_shoulder,459.12884521484375,754.5799560546875,0.9935898780822754
9,0,left_elbow,566.5704956054688,796.1271362304688,0.6746290326118469
9,0,right_elbow,631.7576293945312,817.2111206054688,0.9775057435035706
9,0,left_wrist,698.1981811523438,830.2000732421875,0.704386293888092
9,0,right_wrist,795.927734375,818.7544555664062,0.9562650918960571
9,0,left_hip,271.00506591796875,1003.6438598632812,0.9730642437934875
9,0,right_hip,277.8213806152344,1015.5454711914062,0.9873085618019104
9,0,left_knee,531.8613891601562,1011.1599731445312,0.9593209028244019
9,0,right_knee,543.7890625,1033.1475830078125,0.985977292060852
9,0,left_ankle,410.06341552734375,1237.5914306640625,0.9065206050872803
9,0,right_ankle,402.4772033691406,1267.7100830078125,0.9408665299415588
10,0,nose,551.39208984375,659.027587890625,0.9830973148345947
10,0,left_eye,550.2670288085938,639.3158569335938,0.5662196278572083
10,0,right_eye,532.13623046875,642.8184814453125,0.9930635094642639
10,0,left_ear,511.061279296875,646.3574829101562,0.04299546405673027
10,0,right_ear,476.38525390625,658.9815673828125,0.9868937730789185
10,0,left_shoulder,440.7044982910156,740.6490478515625,0.9728764891624451
10,0,right_shoulder,459.27020263671875,754.5748291015625,0.993587851524353
10,0,left_elbow,566.5875244140625,796.3666381835938,0.6752815246582031
10,0,right_elbow,631.8583984375,817.2367553710938,0.9775236248970032
10,0,left_wrist,697.9613037109375,830.3715209960938,0.7052016854286194
10,0,right_wrist,795.9384155273438,818.6845703125,0.9563625454902649
10,0,left_hip,270.7286682128906,1003.6766357421875,0.973136842250824
10,0,right_hip,277.637451171875,1015.5316162109375,0.9873294830322266
10,0,left_knee,531.81396484375,1010.970947265625,0.9595553874969482
10,0,right_knee,544.005126953125,1032.8646240234375,0.9860506653785706
10,0,left_ankle,410.03179931640625,1237.595703125,0.907158374786377
10,0,right_ankle,402.5553894042969,1267.6156005859375,0.9412652850151062
11,0,nose,551.2015380859375,661.3399047851562,0.9836174249649048
11,0,left_eye,548.5927734375,642.7342529296875,0.5548246502876282
11,0,right_eye,530.7794189453125,646.4180908203125,0.9935686588287354
11,0,left_ear,508.73699951171875,652.8316650390625,0.03673379495739937
11,0,right_ear,473.4675598144531,666.198486328125,0.9886804819107056
11,0,left_shoulder,445.4413146972656,749.7921142578125,0.9745340943336487
11,0,right_shoulder,453.34088134765625,760.912353515625,0.9935047626495361
11,0,left_elbow,581.9595336914062,804.9320068359375,0.6745089292526245
11,0,right_elbow,624.228271484375,822.5800170898438,0.9763944745063782
11,0,left_wrist,726.2471313476562,834.7343139648438,0.6991997361183167
11,0,right_wrist,793.2275390625,825.4336547851562,0.9541709423065186
